Name,Aired Date,Year of release,Original Network,Aired On,Number of Episodes,Duration,Content Rating,Rating,,Genre,,Director,,,,Rank
Missing,"Aug 29, 2020 - Oct 11, 2020",2020,OCN," Saturday, Sunday",12,1 hr. 10 min.,15+ - Teens 15 or older,8.6,,"Thriller,  Mystery,  Supernatural ",,Min Yeon Hong,,,,#87
Stranger 2,"Aug 15, 2020 - Oct  4, 2020",2020,"Netflix,  tvN "," Saturday, Sunday",16,1 hr. 2 min.,15+ - Teens 15 or older,8.6,,"Thriller,  Mystery,  Law,  Drama ",,Park Hyun Suk,,,,#88
Designated Survivor,"Jul  1, 2019 - Aug 20, 2019",2019,"Netflix,  tvN "," Monday, Tuesday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.6,,"Thriller,  Mystery,  Drama,  Political ",,Yoo Jong Sun,,,,#89
Juvenile Justice,25-Feb-22,2022,Netflix,Friday,10,1 hr. 2 min.,18+ Restricted (violence & profanity),8.6,,"Law, Drama",,Hong Jong Chan,,,,#90
Cruel City,"May 27, 2013 - Jul 30, 2013",2013,jTBC," Monday, Tuesday",20,60 min.,15+ - Teens 15 or older,8.6,,"Action,  Thriller,  Romance,  Crime ",,Lee Jeong Hyo,,,,#91
My Love from the Star,"Dec 18, 2013 - Feb 27, 2014",2013,SBS," Wednesday, Thursday",21,58 min.,15+ - Teens 15 or older,8.6,,"Comedy,  Romance,  Drama,  Supernatural ",,"Oh Choong Hwan, Jang Tae Yoo",,,,#92
Mystic Pop-Up Bar,"May 20, 2020 - Jun 25, 2020",2020,"jTBC,  Netflix "," Wednesday, Thursday",12,1 hr. 8 min.,15+ - Teens 15 or older,8.6,,"Mystery,  Comedy,  Family,  Fantasy ",,Jun Chang Geun,,,,#93
Age of Youth,"Jul 22, 2016 - Aug 27, 2016",2016,jTBC," Friday, Saturday",12,60 min.,15+ - Teens 15 or older,8.6,,"Friendship,  Romance,  Life,  Youth ",,Lee Tae Gon,,,,#94
Just Between Lovers,"Dec 11, 2017 - Jan 30, 2018",2017,jTBC," Monday, Tuesday",16,1 hr. 13 min.,15+ - Teens 15 or older,8.6,,"Psychological,  Romance,  Melodrama ",,Kim Jin Won,,,,#95
Save Me,"Aug  5, 2017 - Sep 24, 2017",2017,OCN," Saturday, Sunday",16,60 min.,15+ - Teens 15 or older,8.6,,"Action,  Thriller,  Mystery,  Drama ",,Kim Sung Soo,,,,#96
Bad and Crazy,"Dec 17, 2021 - Jan 28, 2022",2021,"iQiyi, tvN","Friday, Saturday",12,1 hr. 10 min.,15+ - Teens 15 or older,8.6,,"Action, Thriller, Mystery, Comedy",,Yoo Seon Dong,,,,#97
365,"Mar 23, 2020 - Apr 28, 2020",2020,MBC," Monday, Tuesday",24,35 min.,15+ - Teens 15 or older,8.6,,"Thriller,  Mystery,  Drama,  Fantasy ",,Kim Kyung Hee,,,,#98
The Master's Sun,"Aug  7, 2013 - Oct  3, 2013",2013,SBS," Wednesday, Thursday",17,1 hr. 2 min.,15+ - Teens 15 or older,8.6,,"Horror,  Comedy,  Romance,  Supernatural ",,Jin Hyeok,,,,#99
Avengers Social Club,"Oct 11, 2017 - Nov 16, 2017",2017,tvN," Wednesday, Thursday",12,60 min.,15+ - Teens 15 or older,8.6,,"Friendship,  Comedy,  Life,  Drama ",,"Kwon Seok Jang, Kim Sang Ho",,,,#100
Rebel,"Jan 30, 2017 - May 16, 2017",2017,MBC," Monday, Tuesday",30,60 min.,15+ - Teens 15 or older,8.5,,"Action,  Thriller,  Historical,  Romance ",,Kim Jin Man,,,,#101
Nobody Knows,"Mar  2, 2020 - Apr 21, 2020",2020,SBS," Monday, Tuesday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.5,,"Thriller,  Mystery,  Drama,  Melodrama ",,Lee Jung Heum,,,,#102
Bad Guys,"Oct  4, 2014 - Dec 13, 2014",2014,OCN,Saturday,11,1 hr. 5 min.,18+ Restricted (violence & profanity),8.5,,"Action,  Thriller,  Psychological,  Crime ",,"Shin Yong Hwi, Kim Jung Min",,,,#103
Beautiful World,"Apr  5, 2019 - May 25, 2019",2019,"jTBC,  Viki "," Friday, Saturday",16,60 min.,15+ - Teens 15 or older,8.5,,"Life,  School,  Family,  Melodrama ",,Park Chan Hong,,,,#104
Arthdal Chronicles Part 1,"Jun  1, 2019 - Jun 16, 2019",2019,"Netflix,  tvN "," Saturday, Sunday",6,1 hr. 20 min.,15+ - Teens 15 or older,8.5,,"Historical,  Romance,  Fantasy,  Political ",,Kim Won Suk,,,,#105
Kairos,"Oct 26, 2020 - Dec 22, 2020",2020,MBC," Monday, Tuesday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.5,,"Action,  Thriller,  Drama,  Sci-Fi ",,"Park Seung Woo, Sung Chi Wook",,,,#106
I Hear Your Voice,"Jun  5, 2013 - Aug  1, 2013",2013,SBS," Wednesday, Thursday",18,60 min.,15+ - Teens 15 or older,8.5,,"Mystery,  Law,  Romance,  Supernatural ",,Jo Soo Won,,,,#107
What's Wrong with Secretary Kim,"Jun  6, 2018 - Jul 26, 2018",2018,tvN," Wednesday, Thursday",16,1 hr. 9 min.,15+ - Teens 15 or older,8.5,,"Friendship,  Business,  Comedy,  Romance ",,Park Joon Hwa,,,,#108
Vagabond,"Sep 20, 2019 - Nov 23, 2019",2019,"Netflix,  SBS "," Friday, Saturday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.5,,"Action,  Thriller,  Mystery,  Crime ",,Yoo In Shik,,,,#109
One Ordinary Day,"Nov 27, 2021 - Dec 19, 2021",2021,ViuTV,"Saturday, Sunday",8,1 hr. 10 min.,18+ Restricted (violence & profanity),8.5,,"Thriller, Mystery, Law, Crime",,Lee Myung Woo,,,,#110
Reply 1997,"Jul 24, 2012 - Sep 18, 2012",2012,tvN,Tuesday,16,60 min.,15+ - Teens 15 or older,8.5,,"Comedy,  Romance,  Life,  Family ",,Shin Won Ho,,,,#111
Doctor John,"Jul 19, 2019 - Sep  7, 2019",2019,SBS," Friday, Saturday",32,35 min.,15+ - Teens 15 or older,8.5,,"Mystery,  Romance,  Life,  Medical ",,Jo Soo Won,,,,#112
"Hi Bye, Mama!","Feb 22, 2020 - Apr 19, 2020",2020,"Netflix, tvN","Saturday, Sunday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.5,,"Romance, Drama, Melodrama, Supernatural",,Yoo Je Won,,,,#113
Voice,"Jan 14, 2017 - Mar 12, 2017",2017,OCN,"Saturday, Sunday",16,60 min.,15+ - Teens 15 or older,8.5,,"Thriller, Mystery, Psychological",,Kim Hong Seon,,,,#114
Fight For My Way,"May 22, 2017 - Jul 11, 2017",2017,KBS2," Monday, Tuesday",16,60 min.,15+ - Teens 15 or older,8.5,,"Business,  Comedy,  Romance,  Sports ",,"Lee Na Jung, Kim Dong Hwi",,,,#115
Squid Game,17-Sep-21,2021,Netflix,Friday,9,60 min.,18+ Restricted (violence & profanity),8.5,,"Action,  Thriller,  Mystery,  Drama ",,Hwang Dong Hyuk,,,,#116
